Date,Open,High,Low,Close,Adj Close,Volume
2017-06-13,26.780001,27.040001,26.650000,26.889999,26.889999,126600
2017-06-14,26.879999,27.090000,26.740000,26.889999,26.889999,111100
2017-06-15,26.680000,27.120001,26.680000,27.000000,27.000000,88600
2017-06-16,26.770000,27.010000,26.770000,26.920000,26.920000,104400
2017-06-19,26.990000,27.139999,26.799999,26.879999,26.879999,83100
2017-06-20,26.799999,27.160000,26.610001,26.760000,26.760000,58200
2017-06-21,26.780001,26.840000,26.490000,26.559999,26.559999,81900
2017-06-22,26.590000,26.709999,26.420000,26.549999,26.549999,29700
2017-06-23,26.639999,26.709999,26.400000,26.629999,26.629999,185600
2017-06-26,26.639999,26.930000,26.610001,26.820000,26.820000,124800
2017-06-27,26.670000,26.959999,26.670000,26.790001,26.790001,40900
2017-06-28,26.879999,26.969999,26.760000,26.850000,26.850000,30400
2017-06-29,26.780001,26.990000,26.690001,26.990000,26.990000,53000
2017-06-30,27.000000,27.080000,26.760000,26.959999,26.959999,53000
2017-07-03,27.000000,27.260000,27.000000,27.219999,27.219999,26400
2017-07-05,27.209999,27.420000,26.709999,26.980000,26.980000,92500
2017-07-06,26.930000,26.930000,26.510000,26.570000,26.570000,85800
2017-07-07,26.590000,26.930000,26.590000,26.879999,26.879999,82200
2017-07-10,26.870001,27.020000,26.370001,26.430000,26.430000,52600
2017-07-11,26.420000,26.549999,26.200001,26.379999,26.379999,65000
2017-07-12,26.500000,27.049999,26.400000,26.530001,26.530001,68600
